model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse
Transformer,120,24,FALSE,FALSE,FALSE,0.01226686,0.4381433,0.08333369,0.60200577,0.11075585,0.66192394,0.0352152,0.2748855,0.93680763,-1.24663998,0.00222298,0.25083801
Transformer,120,96,FALSE,FALSE,FALSE,0.04629844,0.64724483,0.16507122,0.73896376,0.21517073,0.80451528,0.07084582,0.33812395,0.74564347,-2.49636155,0.00890788,0.49945462
Transformer,120,192,FALSE,FALSE,FALSE,0.10468207,0.71486429,0.25593483,0.77804694,0.32354608,0.84549647,0.11155829,0.35612121,0.36716533,-3.13250436,0.02106577,0.77635849
Transformer,120,336,FALSE,FALSE,FALSE,0.20093207,0.81790846,0.37586734,0.83934004,0.44825447,0.90438291,0.16620865,0.38376555,-0.40670042,-4.20195802,0.04110602,1.12915695
Transformer,120,720,FALSE,FALSE,FALSE,0.44381446,0.34324384,0.58092958,0.50705778,0.66619402,0.58587016,0.26306921,0.23560672,-3.58390584,-1.66040353,0.09804432,1.85089052
Transformer,144,1,FALSE,FALSE,FALSE,0.00143042,0.16809693,0.02880404,0.36425806,0.0378209,0.40999626,0.01177079,0.16429163,0.9925044,0.11915249,0.00022794,0.08657713
Transformer,144,12,FALSE,FALSE,FALSE,0.00609337,0.00754933,0.05752933,0.06544822,0.07806002,0.08688688,0.0241964,0.02753638,0.96769776,0.96006457,0.0010893,0.17952472
Transformer,144,24,FALSE,FALSE,FALSE,0.01046269,0.44835895,0.0755043,0.60954854,0.10228731,0.66959611,0.0320103,0.27897443,0.94392225,-1.39281339,0.00191022,0.23628162
Transformer,144,96,FALSE,FALSE,FALSE,0.07311533,0.67000567,0.21762259,0.75298008,0.27039847,0.81853874,0.09548642,0.34489985,0.58510422,-2.7538419,0.01486454,0.63959122
Transformer,144,192,FALSE,FALSE,FALSE,0.08891326,0.74405047,0.24093378,0.79565024,0.29818326,0.8625836,0.105402,0.36438602,0.44399632,-3.4652783,0.01784696,0.72962242
Transformer,144,336,FALSE,FALSE,FALSE,0.26235652,0.76272655,0.44300917,0.810145,0.51220751,0.87334217,0.1960987,0.37090644,-0.89377587,-4.0486796,0.05370987,1.3177439
Transformer,144,720,FALSE,FALSE,FALSE,0.65435028,1.11357318,0.73238587,0.99504875,0.80891919,1.05525977,0.32757831,0.45485641,-5.82439488,-7.92708875,0.13897853,2.29015875
Transformer,168,1,FALSE,FALSE,FALSE,0.00106163,0.17798959,0.02429159,0.3764682,0.03258262,0.42188813,0.01018712,0.17070985,0.99423899,0.03354776,0.00018531,0.07590133
Transformer,168,12,FALSE,FALSE,FALSE,0.0064579,0.01021086,0.06154405,0.08127212,0.08036107,0.10104879,0.02608381,0.03552979,0.96472229,0.94425626,0.00116856,0.18773142
