model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse,data_type
Autoformer,12,192,True,False,False,0.05377949,0.84005547,0.17329556,0.84182564,0.23190404,0.9165454,0.0733663,0.38323533,0.72520355,-3.02597828,0.010062,0.50638938,original
Autoformer,12,336,True,False,False,0.09144729,0.59496045,0.23531991,0.70571524,0.30240253,0.77133679,0.10051979,0.31845915,0.45342611,-2.15056404,0.01717677,0.69471234,original
Autoformer,12,720,True,False,False,0.19828442,1.05419558,0.3475866,0.96276798,0.44529137,1.02674027,0.15028514,0.43843761,-0.82364717,-5.90882885,0.03819871,1.13651133,original
Autoformer,24,1,True,False,False,0.01410897,0.18696228,0.03883149,0.3787292,0.11878119,0.43239135,0.01569414,0.16568193,0.94242546,0.23621198,0.00206621,0.23994695,original
Autoformer,24,12,True,False,False,0.00512329,0.03149734,0.04925565,0.14663358,0.07157718,0.17747491,0.0205646,0.06635226,0.9788116,0.86997769,0.00090931,0.14537175,original
Autoformer,24,24,True,False,False,0.00881976,0.53074296,0.06333261,0.66763104,0.09391357,0.72852108,0.02646646,0.30153866,0.96293558,-1.2169827,0.00154682,0.19190322,original
Autoformer,24,96,True,False,False,0.03104413,0.6555349,0.12813009,0.74373896,0.17619343,0.8096511,0.05378201,0.33782471,0.85487812,-1.96652888,0.00564689,0.37426099,original
Autoformer,24,192,True,False,False,0.05468688,0.79426294,0.17601599,0.81863647,0.23385227,0.89121431,0.07456617,0.37292537,0.71496713,-2.89382124,0.01019533,0.51672482,original
Autoformer,24,336,True,False,False,0.0905024,0.79271238,0.23521292,0.82046635,0.30083618,0.89034397,0.1001594,0.37410929,0.44833182,-3.29016949,0.01668393,0.69907212,original
Autoformer,24,720,True,False,False,0.19804497,1.02724364,0.34772539,0.95063233,0.44502243,1.01353028,0.14950261,0.433397,-0.84699095,-5.86844729,0.03731957,1.14840972,original
Autoformer,48,1,True,False,False,0.00430153,0.18413771,0.04916335,0.3790108,0.06558608,0.42911271,0.02059641,0.16730661,0.98155353,0.20987395,0.00076045,0.13581778,original
Autoformer,48,12,True,False,False,0.00629302,0.00956998,0.05845249,0.07130326,0.07932853,0.09782626,0.02449331,0.02889363,0.97259273,0.95841928,0.0011234,0.16530885,original
Autoformer,48,24,True,False,False,0.01008389,0.3929334,0.07241368,0.57353869,0.10041855,0.626844,0.03034794,0.25949348,0.95530981,-0.7303256,0.00178802,0.21068165,original
Autoformer,48,96,True,False,False,0.03242865,0.61886154,0.13326062,0.72161694,0.18007956,0.78667753,0.05620619,0.32856813,0.84119276,-1.94936142,0.00593003,0.39281729,original
Autoformer,48,192,True,False,False,0.0595663,0.74399344,0.18589653,0.79285466,0.24406208,0.86255055,0.079037,0.36162912,0.67692286,-2.81522522,0.01118655,0.55202341,original
Autoformer,48,336,True,False,False,0.09816114,0.78214833,0.24747168,0.81753233,0.31330678,0.8843915,0.10608072,0.37279829,0.37906669,-3.41761814,0.01848584,0.74456137,original
Autoformer,48,720,True,False,False,0.1902182,1.14633696,0.34320632,1.01093743,0.43614012,1.07067126,0.14875312,0.46018062,-0.826283,-6.97304206,0.03685484,1.15013158,original
Autoformer,72,1,True,False,False,0.00335604,0.1910074,0.04279557,0.38929649,0.05793133,0.43704394,0.01788381,0.17340988,0.98478152,0.13319368,0.00058336,0.12336321,original
Autoformer,72,12,True,False,False,0.00962056,0.00783921,0.0719883,0.06665373,0.09808446,0.08853929,0.03013494,0.02796367,0.9555685,0.96387869,0.00168765,0.21050194,original
Autoformer,72,24,True,False,False,0.01594252,0.45748052,0.09486056,0.61706175,0.12626368,0.67637306,0.04009484,0.28035841,0.92511033,-1.14182649,0.00288735,0.27319822,original
Autoformer,72,96,True,False,False,0.03247699,0.67961479,0.13356768,0.75693319,0.18021373,0.82438753,0.05648629,0.34549568,0.83380911,-2.40066438,0.0059572,0.40300837,original
Autoformer,72,192,True,False,False,0.06485391,0.76056086,0.19715123,0.8023808,0.2546643,0.87210141,0.0845504,0.36637843,0.63493166,-3.07263299,0.0124879,0.5889895,original
Autoformer,72,336,True,False,False,0.09856413,0.69503172,0.25084633,0.7679693,0.31394923,0.83368562,0.10759892,0.3505437,0.35715616,-3.0897492,0.01854355,0.75879365,original
Autoformer,72,720,True,False,False,0.18762262,1.14077406,0.34284228,1.00871574,0.43315426,1.06807025,0.14873341,0.45961675,-0.79325673,-7.24144478,0.03650926,1.15695691,original
Autoformer,96,1,True,False,False,0.00539621,0.20125283,0.05386331,0.4031057,0.07345889,0.44861211,0.02267597,0.18117948,0.97390228,0.02667938,0.0009725,0.1615479,original
Autoformer,96,12,True,False,False,0.00939154,0.01904821,0.07146867,0.11495414,0.09690996,0.13801525,0.02993531,0.05176993,0.954111,0.90697179,0.00167012,0.21408235,original
Autoformer,96,24,True,False,False,0.01457259,0.45328253,0.08858135,0.61332351,0.12071699,0.6732626,0.03730927,0.27950292,0.92789575,-1.23562587,0.00264053,0.2680513,original
Autoformer,96,96,True,False,False,0.03916656,0.64075285,0.15122361,0.7344479,0.19790544,0.8004704,0.06472416,0.33565198,0.79259263,-2.33922846,0.00747886,0.45178616,original
Autoformer,96,192,True,False,False,0.06565673,0.68390611,0.19923942,0.76020619,0.25623569,0.82698616,0.08559487,0.34759778,0.61775841,-2.80942644,0.01254203,0.60473198,original
Autoformer,96,336,True,False,False,0.10320781,0.77173339,0.25630656,0.81172538,0.32125974,0.87848358,0.10996301,0.3712093,0.29981861,-3.7218831,0.01926777,0.79280549,original
Autoformer,96,720,True,False,False,0.18703561,0.78819093,0.34249792,0.82719859,0.43247613,0.88780117,0.14918464,0.37858011,-0.86735601,-4.90231882,0.03698887,1.17861986,original
Autoformer,120,1,True,False,False,0.00962279,0.16402679,0.07174504,0.35800727,0.0980958,0.4050022,0.03052454,0.16042564,0.95153462,0.1737797,0.00179852,0.22014852,original
Autoformer,120,12,True,False,False,0.01415677,0.02425327,0.08658919,0.13031294,0.11898224,0.1557346,0.0366758,0.0594855,0.92800716,0.87683726,0.0025796,0.26813614,original
Autoformer,120,24,True,False,False,0.01890316,0.4381433,0.10203534,0.60200577,0.13748878,0.66192394,0.04325246,0.2748855,0.90263612,-1.24663998,0.00346964,0.31138229,original
Autoformer,120,96,True,False,False,0.04650027,0.64724483,0.1625527,0.73896376,0.21563922,0.80451528,0.06970953,0.33812395,0.74422551,-2.49636155,0.00883796,0.5005421,original
Autoformer,120,192,True,False,False,0.06625296,0.71486429,0.19965486,0.77804694,0.25739652,0.84549647,0.0855971,0.35612121,0.6012146,-3.13250436,0.01249185,0.6176306,original
Autoformer,120,336,True,False,False,0.10428904,0.81790846,0.25918791,0.83934004,0.32293814,0.90438291,0.11159079,0.38376555,0.26347235,-4.20195802,0.01967392,0.81348401,original
Autoformer,120,720,True,False,False,0.19320492,0.34324384,0.34764799,0.50705778,0.43955082,0.58587016,0.15134007,0.23560672,-0.97815349,-1.66040353,0.03799459,1.22120655,original
Autoformer,144,1,True,False,False,0.01142792,0.16809693,0.08125477,0.36425806,0.10690146,0.40999626,0.03452599,0.16429163,0.94011611,0.11915249,0.00213675,0.24471186,original
Autoformer,144,12,True,False,False,0.02116571,0.00754933,0.10371543,0.06544822,0.1454844,0.08688688,0.04453366,0.02753638,0.88777961,0.96006457,0.00410253,0.33458927,original
Autoformer,144,24,True,False,False,0.0141184,0.44835895,0.0890966,0.60954854,0.11882088,0.66959611,0.03825061,0.27897443,0.92445063,-1.39281339,0.00264584,0.27447385,original
Autoformer,144,96,True,False,False,0.03670347,0.67000567,0.14502659,0.75298008,0.1915815,0.81853874,0.06265701,0.34489985,0.79083591,-2.7538419,0.00712206,0.45316029,original
Autoformer,144,192,True,False,False,0.07646532,0.74405047,0.21731141,0.79565024,0.27652362,0.8625836,0.09405944,0.36438602,0.52161699,-3.4652783,0.01489147,0.67662358,original
Autoformer,144,336,True,False,False,0.11060601,0.76272655,0.26883906,0.810145,0.33257481,0.87334217,0.11654009,0.37090644,0.18541549,-4.0486796,0.02130913,0.85560721,original
Autoformer,144,720,True,False,False,0.19553182,1.11357318,0.35176697,0.99504875,0.44218978,1.05525977,0.15368733,0.45485641,-1.03713184,-7.92708875,0.03884602,1.25189865,original
Autoformer,168,1,True,False,False,0.0136961,0.17798959,0.08315822,0.3764682,0.11703036,0.42188813,0.03600974,0.17070985,0.92567692,0.03354776,0.00273095,0.27262262,original
Autoformer,168,12,True,False,False,0.01798969,0.01021086,0.10069315,0.08127212,0.13412564,0.10104879,0.04278347,0.03552979,0.90172956,0.94425626,0.00325205,0.3133308,original
Autoformer,168,24,True,False,False,0.02077609,0.45402713,0.10961108,0.6139632,0.14413914,0.67381535,0.04726018,0.28140064,0.88554225,-1.4960704,0.00395109,0.33795899,original
Autoformer,168,96,True,False,False,0.04133889,0.68176205,0.15906438,0.76046587,0.20331968,0.82568884,0.06810378,0.34864001,0.75546648,-2.96175577,0.00776322,0.49000221,original
Autoformer,168,192,True,False,False,0.06477305,0.78928675,0.20163368,0.82111854,0.25450549,0.88841812,0.08700445,0.37628154,0.57886344,-3.920361,0.01241686,0.63511324,original
Autoformer,168,336,True,False,False,0.11640632,0.82629476,0.27698541,0.84805107,0.34118369,0.90900757,0.11981561,0.3880013,0.0979466,-4.69983443,0.02216115,0.89268965,original
Autoformer,168,720,True,False,False,0.19460286,0.39224391,0.35002261,0.54838896,0.44113815,0.62629379,0.153586,0.25559472,-1.03600052,-2.24928211,0.03929378,1.26161027,original
Autoformer,192,1,True,False,False,0.0068196,0.19239208,0.06298561,0.39297918,0.08258085,0.43862521,0.02692585,0.1789271,0.96188318,-0.07533837,0.00125988,0.19523528,original
Autoformer,192,12,True,False,False,0.01746822,0.02204759,0.10263085,0.1234672,0.13216738,0.14848432,0.04400172,0.05664358,0.90145296,0.87571363,0.00333184,0.31372556,original
Autoformer,192,24,True,False,False,0.01999336,0.43718904,0.10767227,0.60063319,0.14139786,0.66120272,0.0465386,0.27577488,0.88588679,-1.48748666,0.00390718,0.33727416,original
Autoformer,192,96,True,False,False,0.05673664,0.69605102,0.18490213,0.76966667,0.23819454,0.83429672,0.08049169,0.35317187,0.65084672,-3.2011784,0.011306,0.58518732,original
Autoformer,192,192,True,False,False,0.07217234,0.76661261,0.21222207,0.81110218,0.2686491,0.87556417,0.09187005,0.37189983,0.51023924,-3.96604148,0.0139214,0.68374556,original
Autoformer,192,336,True,False,False,0.13660793,0.77542478,0.30260572,0.82114074,0.36960509,0.88058207,0.1315823,0.37617216,-0.08632819,-4.58797007,0.02638245,0.98979449,original
Autoformer,192,720,True,False,False,0.1929484,0.4618486,0.35095069,0.60363904,0.43925893,0.67959444,0.15435952,0.28112891,-1.05165095,-2.95233955,0.03919069,1.2796365,original
Autoformer,336,1,True,False,False,0.02092414,0.1654295,0.11319462,0.35959277,0.1446518,0.40673025,0.04935393,0.16662289,0.85082688,-0.17868986,0.00415217,0.38622937,original
Autoformer,336,12,True,False,False,0.04773533,0.00660671,0.17467192,0.06203812,0.21848418,0.08128167,0.07628454,0.02742824,0.65648322,0.95241399,0.00938665,0.58644813,original
Autoformer,336,24,True,False,False,0.03292239,0.4596226,0.13644993,0.61793973,0.18144529,0.67795472,0.05940736,0.28631817,0.76038897,-2.33592996,0.00644679,0.48885217,original
Autoformer,336,96,True,False,False,0.05211351,0.63697099,0.1789871,0.7402593,0.22828382,0.79810462,0.07805746,0.34134015,0.5988729,-3.84739624,0.0101955,0.62939209,original
Autoformer,336,192,True,False,False,0.0893016,0.84831467,0.24520451,0.86648466,0.29883373,0.92104,0.10690311,0.39784694,0.20934564,-6.10379946,0.0172509,0.86383069,original
Autoformer,336,336,True,False,False,0.10362345,0.79667032,0.26232713,0.84387432,0.32190597,0.8925639,0.11464304,0.38738457,-0.0490799,-6.37711648,0.02012187,0.97951913,original
Autoformer,336,720,True,False,False,0.18528417,0.99139495,0.34706202,0.94448763,0.43044648,0.99568818,0.15341677,0.43535593,-1.20081304,-9.15605564,0.03779288,1.37759578,original
Autoformer,504,1,True,False,False,0.02644745,0.00138747,0.13197204,0.02823181,0.16262673,0.03724876,0.05790676,0.01247734,0.73205885,0.98598535,0.00510832,0.51763028,original
Autoformer,504,12,True,False,False,0.04198908,0.03265818,0.16304936,0.14981897,0.20491238,0.18071573,0.07218895,0.07144356,0.56722001,0.66481375,0.0084503,0.65743953,original
Autoformer,504,24,True,False,False,0.08899411,0.48327413,0.23206812,0.63731573,0.2983188,0.69517921,0.10087374,0.29768869,0.06459154,-4.04268979,0.01687194,0.96501994,original
Autoformer,504,96,True,False,False,0.14743578,0.66039605,0.31826261,0.76200596,0.38397369,0.81264756,0.14126898,0.35323572,-0.60382736,-6.13834404,0.02970743,1.26178372,original
Autoformer,504,192,True,False,False,0.13753664,0.8408512,0.30573764,0.87081415,0.37085932,0.91697939,0.13615657,0.40197091,-0.55661782,-8.3799814,0.02829432,1.2364229,original
Autoformer,504,336,True,False,False,0.15375966,0.72884835,0.32526115,0.80562941,0.392122,0.85372616,0.14581122,0.3732293,-0.81906337,-7.39154204,0.03227009,1.32872379,original
Autoformer,504,720,True,False,False,0.16949598,1.26230485,0.3356871,1.08789415,0.41169891,1.12352341,0.15098213,0.50240877,-1.34441449,-14.5136906,0.03606939,1.44015944,original
Autoformer,672,1,True,False,False,0.04415338,0.20609197,0.17634222,0.40961405,0.21012706,0.45397353,0.07957748,0.19377409,0.47910446,-1.43135145,0.00934468,0.72173089,original
Autoformer,672,12,True,False,False,0.03903938,0.02242222,0.16083492,0.12520413,0.19758385,0.14974052,0.0712485,0.05983212,0.53733431,0.73486621,0.00770873,0.68011874,original
Autoformer,672,24,True,False,False,0.05379312,0.51198808,0.18795811,0.66505909,0.23193344,0.71553342,0.08267803,0.3115181,0.3612064,-5.06905236,0.01031866,0.79946047,original
Autoformer,672,96,True,False,False,0.07382314,0.74374393,0.21942182,0.81880233,0.27170414,0.86240589,0.09921274,0.38064956,0.10602105,-7.99602207,0.01604575,0.94495702,original
Autoformer,672,192,True,False,False,0.08979058,0.88055931,0.24765985,0.8972857,0.29965076,0.93838122,0.11217545,0.416264,-0.11649872,-9.86225867,0.01950346,1.05241406,original
Autoformer,672,336,True,False,False,0.23170292,0.82466357,0.39353773,0.86624363,0.48135531,0.90810989,0.18136586,0.40288435,-1.95065396,-9.35110958,0.05247627,1.69942617,original
Autoformer,672,720,True,False,False,0.25476918,0.24452185,0.39624268,0.42415128,0.50474662,0.49449151,0.18116833,0.20271878,-3.28542011,-2.41268629,0.05596044,1.87747693,original
Autoformer,720,1,True,False,False,0.03474642,0.00231349,0.15088253,0.03879273,0.18640393,0.04809874,0.06650794,0.01803612,0.58051946,0.97211154,0.00662256,0.64767313,original
Autoformer,720,12,True,False,False,0.03477531,0.00575089,0.15724963,0.05824097,0.18648139,0.07583461,0.07030693,0.02678387,0.57893323,0.93041619,0.00716199,0.64893866,original
Autoformer,720,24,True,False,False,0.03809977,0.52678437,0.15748358,0.67770494,0.19519162,0.72579913,0.06976629,0.31758726,0.53611399,-5.40415348,0.00748455,0.68071908,original
Autoformer,720,96,True,False,False,0.08897029,0.77644947,0.2453995,0.83885029,0.29827887,0.8811637,0.11213397,0.39043347,-0.10624213,-8.6268003,0.01989784,1.04957843,original
Autoformer,720,192,True,False,False,0.0818527,0.90739084,0.23733069,0.91343496,0.28609911,0.95257065,0.10788729,0.42422912,-0.03900115,-10.43843476,0.01799372,1.01406252,original
Autoformer,720,336,True,False,False,0.17870618,0.87943215,0.34727034,0.89809003,0.42273656,0.93778044,0.1598343,0.41794685,-1.37731206,-10.35565468,0.04024544,1.51895475,original
Autoformer,720,720,True,False,False,0.15744753,0.38621078,0.31471953,0.54745964,0.39679658,0.62145859,0.14429294,0.26083239,-1.72000931,-4.58310899,0.03505939,1.50852942,original
Autoformer,6,1,True,False,True,0.00081018,0.00821274,0.01972442,0.07146617,0.02846361,0.09062414,0.00821182,0.0295617,0.99680698,0.96756802,0.00014298,0.05650681,original
Autoformer,6,12,True,False,True,0.00413905,0.01330631,0.04223951,0.0866018,0.06433548,0.11535299,0.01758425,0.03528769,0.98345909,0.94691665,0.00072984,0.12840541,original
Autoformer,6,24,True,False,True,0.00890001,0.10846459,0.06352323,0.29058859,0.09433988,0.32933962,0.02662595,0.12815917,0.96389089,0.56254196,0.0015798,0.1893667,original
Autoformer,6,96,True,False,True,0.02968936,0.54684619,0.12339058,0.68088987,0.172306,0.7394905,0.05173704,0.30772866,0.86645333,-1.37825517,0.00540197,0.3585481,original
Autoformer,6,192,True,False,True,0.05528365,0.73836884,0.17536584,0.79063663,0.23512475,0.85928391,0.07424108,0.35940881,0.72043373,-2.49856825,0.01037846,0.51036644,original
Autoformer,6,336,True,False,True,0.1107698,0.60877303,0.26184613,0.71765504,0.33282098,0.78023909,0.11198981,0.32574397,0.34873747,-2.18853436,0.020949,0.76018786,original
Autoformer,6,720,True,False,True,0.17539784,0.79803805,0.32798123,0.83524094,0.41880527,0.89332975,0.14069016,0.37910322,-0.59591038,-4.17764338,0.03287859,1.06299758,original
Autoformer,12,1,True,False,True,0.00094451,0.13051149,0.02253847,0.3099002,0.03073295,0.36126374,0.00937509,0.13297003,0.99623352,0.478729,0.00016498,0.06137167,original
Autoformer,12,12,True,False,True,0.00422715,0.02475459,0.04308646,0.12993193,0.06501655,0.15733591,0.01795439,0.05685505,0.98291872,0.90014475,0.00074609,0.13050406,original
Autoformer,12,24,True,False,True,0.00839751,0.52218193,0.06081393,0.66219442,0.09163795,0.72262156,0.02541552,0.29831083,0.96553478,-1.13014352,0.00147461,0.18501452,original
Autoformer,12,96,True,False,True,0.02949465,0.70754391,0.12347507,0.77316769,0.17174006,0.84115629,0.05183031,0.35087037,0.8655387,-2.11824596,0.00536839,0.35983616,original
Autoformer,12,192,True,False,True,0.05378187,0.84005547,0.17330091,0.84182564,0.2319092,0.9165454,0.07336871,0.38323533,0.72519067,-3.02597828,0.01006246,0.50640064,original
Autoformer,12,336,True,False,True,0.09144729,0.59496045,0.23531991,0.70571524,0.30240253,0.77133679,0.10051979,0.31845915,0.4534261,-2.15056404,0.01717677,0.69471234,original
Autoformer,12,720,True,False,True,0.19828442,1.05419558,0.3475866,0.96276798,0.44529137,1.02674027,0.15028514,0.43843761,-0.82364722,-5.90882885,0.03819871,1.13651133,original
Autoformer,24,1,True,False,True,0.01410897,0.18696228,0.03883149,0.3787292,0.1187812,0.43239135,0.01569414,0.16568193,0.94242544,0.23621198,0.00206621,0.23994699,original
Autoformer,24,12,True,False,True,0.00512329,0.03149734,0.04925564,0.14663358,0.07157718,0.17747491,0.0205646,0.06635226,0.9788116,0.86997769,0.00090931,0.14537175,original
Autoformer,24,24,True,False,True,0.00881976,0.53074296,0.06333261,0.66763104,0.09391357,0.72852108,0.02646646,0.30153866,0.96293558,-1.2169827,0.00154682,0.1919032,original
Autoformer,24,96,True,False,True,0.03104413,0.6555349,0.12813006,0.74373896,0.17619343,0.8096511,0.053782,0.33782471,0.85487812,-1.96652888,0.00564689,0.37426099,original
Autoformer,24,192,True,False,True,0.05468684,0.79426294,0.17601591,0.81863647,0.23385216,0.89121431,0.07456613,0.37292537,0.71496737,-2.89382124,0.01019531,0.51672459,original
Autoformer,24,336,True,False,True,0.09050241,0.79271238,0.23521292,0.82046635,0.30083618,0.89034397,0.1001594,0.37410929,0.4483318,-3.29016949,0.01668393,0.69907212,original
Autoformer,24,720,True,False,True,0.19804496,1.02724364,0.34772539,0.95063233,0.44502243,1.01353028,0.14950261,0.433397,-0.84699095,-5.86844729,0.03731957,1.14840961,original
Autoformer,48,1,True,False,True,0.00430154,0.18413771,0.04916339,0.3790108,0.06558611,0.42911271,0.02059642,0.16730661,0.98155352,0.20987395,0.00076045,0.13581784,original
Autoformer,48,12,True,False,True,0.00629302,0.00956998,0.0584525,0.07130326,0.07932854,0.09782626,0.02449332,0.02889363,0.97259272,0.95841928,0.0011234,0.16530886,original
Autoformer,48,24,True,False,True,0.01008389,0.3929334,0.07241368,0.57353869,0.10041855,0.626844,0.03034795,0.25949348,0.95530981,-0.7303256,0.00178802,0.21068165,original
Autoformer,48,96,True,False,True,0.03242866,0.61886154,0.13326064,0.72161694,0.18007958,0.78667753,0.05620619,0.32856813,0.84119276,-1.94936142,0.00593003,0.39281732,original
Autoformer,48,192,True,False,True,0.0595663,0.74399344,0.18589653,0.79285466,0.24406208,0.86255055,0.079037,0.36162912,0.67692286,-2.81522522,0.01118654,0.55202341,original
Autoformer,48,336,True,False,True,0.09816114,0.78214833,0.24747168,0.81753233,0.31330678,0.8843915,0.10608072,0.37279829,0.37906669,-3.41761814,0.01848584,0.74456137,original
Autoformer,48,720,True,False,True,0.1902182,1.14633696,0.34320632,1.01093743,0.43614012,1.07067126,0.14875312,0.46018062,-0.82628301,-6.97304206,0.03685484,1.15013158,original
Autoformer,72,1,True,False,True,0.00335604,0.1910074,0.04279557,0.38929649,0.05793133,0.43704394,0.01788381,0.17340988,0.98478152,0.13319368,0.00058336,0.12336322,original
Autoformer,72,12,True,False,True,0.00962056,0.00783921,0.0719883,0.06665373,0.09808446,0.08853929,0.03013493,0.02796367,0.9555685,0.96387869,0.00168765,0.21050194,original
Autoformer,72,24,True,False,True,0.01594252,0.45748052,0.09486056,0.61706175,0.12626368,0.67637306,0.04009484,0.28035841,0.92511032,-1.14182649,0.00288735,0.27319822,original
Autoformer,72,96,True,False,True,0.03247695,0.67961479,0.13356753,0.75693319,0.18021363,0.82438753,0.05648621,0.34549568,0.83380931,-2.40066438,0.00595719,0.40300813,original
Autoformer,72,192,True,False,True,0.06485298,0.76056086,0.19714943,0.8023808,0.25466248,0.87210141,0.08454946,0.36637843,0.63493578,-3.07263299,0.01248765,0.58898526,original
Autoformer,72,336,True,False,True,0.09856413,0.69503172,0.25084633,0.7679693,0.31394923,0.83368562,0.10759892,0.3505437,0.35715617,-3.0897492,0.01854355,0.75879365,original
Autoformer,72,720,True,False,True,0.18762428,1.14077406,0.3428421,1.00871574,0.43315619,1.06807025,0.1487332,0.45961675,-0.79327645,-7.24144478,0.03650942,1.15696204,original
Autoformer,96,1,True,False,True,0.00539621,0.20125283,0.05386331,0.4031057,0.0734589,0.44861211,0.02267597,0.18117948,0.97390227,0.02667938,0.0009725,0.16154791,original
Autoformer,96,12,True,False,True,0.00939154,0.01904821,0.07146867,0.11495414,0.09690996,0.13801525,0.02993532,0.05176993,0.954111,0.90697179,0.00167012,0.21408235,original
Autoformer,96,24,True,False,True,0.01457259,0.45328253,0.08858135,0.61332351,0.12071699,0.6732626,0.03730927,0.27950292,0.92789575,-1.23562587,0.00264053,0.26805127,original
Autoformer,96,96,True,False,True,0.03916656,0.64075285,0.15122361,0.7344479,0.19790544,0.8004704,0.06472416,0.33565198,0.79259263,-2.33922846,0.00747886,0.45178616,original
Autoformer,96,192,True,False,True,0.06565886,0.68390611,0.19923979,0.76020619,0.25623986,0.82698616,0.08559527,0.34759778,0.61774643,-2.80942644,0.01254233,0.60474175,original
Autoformer,96,336,True,False,True,0.10320783,0.77173339,0.25630662,0.81172538,0.32125974,0.87848358,0.10996303,0.3712093,0.29981848,-3.7218831,0.01926777,0.79280561,original
Autoformer,96,720,True,False,True,0.18703561,0.78819093,0.34249792,0.82719859,0.43247613,0.88780117,0.14918464,0.37858011,-0.86735602,-4.90231882,0.03698887,1.17861986,original
Autoformer,120,1,True,False,True,0.00962279,0.16402679,0.07174506,0.35800727,0.09809581,0.4050022,0.03052455,0.16042564,0.9515346,0.1737797,0.00179852,0.22014858,original
Autoformer,120,12,True,False,True,0.01415678,0.02425327,0.0865892,0.13031294,0.11898226,0.1557346,0.03667581,0.0594855,0.92800713,0.87683726,0.0025796,0.26813617,original
Autoformer,120,24,True,False,True,0.01890317,0.4381433,0.10203576,0.60200577,0.1374888,0.66192394,0.04325262,0.2748855,0.9026361,-1.24663998,0.00346964,0.31138235,original
Autoformer,120,96,True,False,True,0.04649645,0.64724483,0.16254768,0.73896376,0.21563035,0.80451528,0.06970749,0.33812395,0.74424681,-2.49636155,0.00883708,0.50052154,original
Autoformer,120,192,True,False,True,0.06625219,0.71486429,0.19965243,0.77804694,0.25739503,0.84549647,0.08559576,0.35612121,0.60121892,-3.13250436,0.01249163,0.61762702,original
Autoformer,120,336,True,False,True,0.10428923,0.81790846,0.2591885,0.83934004,0.32293841,0.90438291,0.11159107,0.38376555,0.2634713,-4.20195802,0.01967397,0.81348479,original
Autoformer,120,720,True,False,True,0.19320413,0.34324384,0.34764659,0.50705778,0.43954992,0.58587016,0.15133955,0.23560672,-0.97814649,-1.66040353,0.03799448,1.22120392,original
Autoformer,144,1,True,False,True,0.01142803,0.16809693,0.08125575,0.36425806,0.10690197,0.40999626,0.03452632,0.16429163,0.94011554,0.11915249,0.00213676,0.24471302,original
Autoformer,144,12,True,False,True,0.02116572,0.00754933,0.10371549,0.06544822,0.14548443,0.08688688,0.04453367,0.02753638,0.88777956,0.96006457,0.00410253,0.33458933,original
Autoformer,144,24,True,False,True,0.0141184,0.44835895,0.0890966,0.60954854,0.11882088,0.66959611,0.03825061,0.27897443,0.92445064,-1.39281339,0.00264584,0.27447382,original
Autoformer,144,96,True,False,True,0.03670337,0.67000567,0.14502604,0.75298008,0.19158123,0.81853874,0.06265675,0.34489985,0.79083649,-2.7538419,0.00712204,0.45315969,original
Autoformer,144,192,True,False,True,0.07647829,0.74405047,0.21731803,0.79565024,0.27654707,0.8625836,0.0940614,0.36438602,0.52153889,-3.4652783,0.01489299,0.67668098,original
Autoformer,144,336,True,False,True,0.11061253,0.76272655,0.26885089,0.810145,0.33258462,0.87334217,0.11654505,0.37090644,0.18537523,-4.0486796,0.02131032,0.85563236,original
Autoformer,144,720,True,False,True,0.19551601,1.11357318,0.35174921,0.99504875,0.44217193,1.05525977,0.1536793,0.45485641,-1.03697574,-7.92708875,0.03884258,1.25184798,original
Autoformer,168,1,True,False,True,0.01369727,0.17798959,0.08316597,0.3764682,0.11703533,0.42188813,0.03601217,0.17070985,0.92567061,0.03354776,0.00273106,0.27263421,original
Autoformer,168,12,True,False,True,0.01798622,0.01021086,0.10068376,0.08127212,0.1341127,0.10104879,0.04277766,0.03552979,0.90174851,0.94425626,0.00325063,0.31330058,original
Autoformer,168,24,True,False,True,0.02077609,0.45402713,0.10961106,0.6139632,0.14413913,0.67381535,0.04726018,0.28140064,0.88554227,-1.4960704,0.00395109,0.33795896,original
Autoformer,168,96,True,False,True,0.0413389,0.68176205,0.15906438,0.76046587,0.2033197,0.82568884,0.06810378,0.34864001,0.75546644,-2.96175577,0.00776322,0.49000227,original
Autoformer,168,192,True,False,True,0.06477325,0.78928675,0.20163253,0.82111854,0.25450587,0.88841812,0.08700372,0.37628154,0.57886134,-3.920361,0.01241685,0.63511425,original
Autoformer,168,336,True,False,True,0.11640663,0.82629476,0.27698585,0.84805107,0.34118417,0.90900757,0.1198158,0.3880013,0.09794479,-4.69983443,0.02216121,0.8926909,original
Autoformer,168,720,True,False,True,0.19362828,0.39224391,0.34923452,0.54838896,0.44003212,0.62629379,0.15322709,0.25559472,-1.02540018,-2.24928211,0.0391049,1.25844729,original
Autoformer,192,1,True,False,True,0.00681911,0.19239208,0.0629833,0.39297918,0.08257792,0.43862521,0.02692487,0.1789271,0.96188588,-0.07533837,0.00125979,0.19522837,original
Autoformer,192,12,True,False,True,0.0174674,0.02204759,0.10262831,0.1234672,0.13216428,0.14848432,0.04400057,0.05664358,0.90145759,0.87571363,0.00333167,0.31371823,original
Autoformer,192,24,True,False,True,0.0199929,0.43718904,0.10767096,0.60063319,0.14139624,0.66120272,0.04653799,0.27577488,0.88588946,-1.48748666,0.00390709,0.33727023,original
