model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse,data_type
Informer,336,1,False,True,True,19.14155769,22.00626032,2.98672462,3.35860615,4.37510681,4.69108306,0.26436543,0.31335273,-0.06099101,-0.16207234,0.11502375,1.0300442,reduced
Informer,336,12,False,True,True,21.07958221,31.80423194,3.19975924,4.1496498,4.59125042,5.63952409,0.28980315,0.39479363,-0.16442588,-0.68598092,0.12986498,1.07909214,reduced
Informer,336,24,False,True,True,26.54410744,30.82675217,3.74706602,4.13344284,5.15209723,5.55218445,0.35633996,0.40427769,-0.46101632,-0.64110479,0.17744158,1.20887506,reduced
Informer,336,96,False,True,True,35.9474144,40.52472599,4.55959225,5.03237646,5.99561644,6.36590339,0.46477652,0.53040947,-1.13871128,-1.22700378,0.27462351,1.46585023,reduced
Informer,336,192,False,True,True,38.18888474,46.69081909,4.87234211,5.58933267,6.17971563,6.83306806,0.52483857,0.61557273,-1.49493851,-1.74987568,0.32590374,1.5854156,reduced
Informer,336,336,False,True,True,40.50265884,47.08436829,5.0991621,5.68121936,6.36417007,6.86180503,0.55531287,0.63669754,-1.77362089,-2.12912275,0.3565008,1.6711688,reduced
Informer,504,1,False,True,True,23.85719681,22.66166456,3.5389514,3.49471701,4.88438272,4.76042693,0.31313229,0.32205595,-0.31315287,-0.24734809,0.14290951,1.14592886,reduced
Informer,504,12,False,True,True,21.8432579,31.1475936,3.34556842,4.16319861,4.67367697,5.58100292,0.30338404,0.38392538,-0.27745774,-0.72067469,0.13578576,1.13027418,reduced
Informer,504,24,False,True,True,26.7418251,38.35998789,3.83303857,4.83616068,5.17124987,6.19354405,0.36089522,0.4751341,-0.55984142,-1.12740928,0.17629766,1.24907923,reduced
Informer,504,96,False,True,True,43.52749252,44.09711059,5.25581455,5.37759215,6.59753704,6.64056553,0.53034097,0.5537729,-1.49140128,-1.52479973,0.32545328,1.57918775,reduced
Informer,504,192,False,True,True,39.72694397,50.11018785,5.02790403,5.91654037,6.30293131,7.07885498,0.50823653,0.63359446,-1.44351165,-2.08306845,0.30138224,1.56441438,reduced
Informer,6,1,True,False,False,17.84118843,22.71725917,2.66151333,3.26342594,4.22388315,4.7662626,0.22539099,0.30418733,0.11778065,-0.1141709,0.10014295,0.93926537,reduced
Informer,6,12,True,False,False,20.2689991,30.2251693,2.92155719,3.95064699,4.50211048,5.4977422,0.25527909,0.39707129,-0.00097613,-0.4877434,0.11850168,1.00049233,reduced
Informer,6,24,True,False,False,22.48204994,36.21624823,3.09427762,4.49454182,4.74152422,6.0179937,0.2831358,0.47761096,-0.19322295,-0.78943637,0.14227358,1.09255791,reduced
Informer,6,96,True,False,False,33.27362823,40.52538905,4.03644371,4.88667086,5.76832962,6.36595547,0.39054587,0.54471183,-0.7181693,-1.06461054,0.22933578,1.31175876,reduced
Informer,6,192,True,False,False,35.29980087,42.26388754,4.2950449,5.04681375,5.94136333,6.50106818,0.43609324,0.57399499,-0.9599124,-1.29958871,0.26659033,1.40295815,reduced
Informer,6,336,True,False,False,33.8883934,42.58745289,4.32951593,5.21056669,5.82137394,6.52590629,0.47584561,0.62250737,-1.26843467,-1.5977062,0.29861072,1.5113169,reduced
Informer,6,720,True,False,False,30.99268723,42.35727723,4.25299215,5.43351554,5.56710768,6.50824686,0.4979642,0.69699783,-1.6813381,-2.26485984,0.3110933,1.61101425,reduced
Informer,12,1,True,False,False,17.93283844,22.30022835,2.67479897,3.24987702,4.23471832,4.72231176,0.22590898,0.30796756,0.11442011,-0.09507607,0.10080534,0.94105256,reduced
Informer,12,12,True,False,False,19.82249451,24.92671737,2.90332508,3.45528276,4.45224619,4.99266636,0.25422812,0.33150226,0.02277394,-0.22830085,0.11602055,0.98855454,reduced
Informer,12,24,True,False,False,22.40333557,27.07595306,3.09904265,3.71479464,4.73321629,5.20345588,0.28368157,0.37804118,-0.18162424,-0.33925669,0.14116889,1.08720064,reduced
Informer,12,96,True,False,False,34.67979431,44.31974373,4.18139029,5.18576481,5.88895512,6.65730754,0.41269365,0.58955644,-0.78330909,-1.26036707,0.24427637,1.336501,reduced
Informer,12,192,True,False,False,37.50310898,42.65824409,4.44831276,5.06080066,6.12397814,6.5313279,0.45411074,0.57273794,-1.06548716,-1.32381423,0.28562447,1.44117653,reduced
